Initial makespan = 2792, Initial flowtime = 0, runtime = 43.3195
Iteration 715, Neighborhood size 8, Makespan = 1263, Flowtime = 0, Runtime = 74
Iteration 716, Neighborhood size 8, Makespan = 1262, Flowtime = 0, Runtime = 74
Iteration 718, Neighborhood size 8, Makespan = 1260, Flowtime = 0, Runtime = 74
Iteration 730, Neighborhood size 8, Makespan = 1259, Flowtime = 0, Runtime = 74
Iteration 731, Neighborhood size 8, Makespan = 1258, Flowtime = 0, Runtime = 74
Iteration 733, Neighborhood size 8, Makespan = 1257, Flowtime = 0, Runtime = 74
Iteration 739, Neighborhood size 8, Makespan = 1254, Flowtime = 0, Runtime = 74
Iteration 740, Neighborhood size 8, Makespan = 1252, Flowtime = 0, Runtime = 75
Iteration 741, Neighborhood size 8, Makespan = 1251, Flowtime = 0, Runtime = 75
Iteration 747, Neighborhood size 8, Makespan = 1249, Flowtime = 0, Runtime = 75
Iteration 885, Neighborhood size 8, Makespan = 1248, Flowtime = 0, Runtime = 80
Iteration 896, Neighborhood size 8, Makespan = 1247, Flowtime = 0, Runtime = 81
Iteration 902, Neighborhood size 8, Makespan = 1246, Flowtime = 0, Runtime = 81
Iteration 905, Neighborhood size 8, Makespan = 1245, Flowtime = 0, Runtime = 81
Iteration 939, Neighborhood size 8, Makespan = 1243, Flowtime = 0, Runtime = 82
